architecture,is_architecture,author/s,city,country,start_year,end_year,qty_title,qty_paragraph,qty_caption,qty_unassigned,qty,certainty_score,fuctional_type_infered,fuctional_type_classified,uses_wikipedia
Neue Wache,Yes,Schinkel,Berlin,Germany,1816,1818,0,1,0,0,1,0.9994858503,house,Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital,TRUE
Altes Museum,Yes,Karl Friedrich Schinkel,Berlin,Germany,1845,1845,0,1,4,1,6,0.9836796423,museum,Museum,TRUE
Bibliotheque,Yes,Labrouste,Montreal,French,1785,1860,0,5,4,0,9,0.9470287263,library,Library,FALSE
Palais Mazarin,Yes,Labrouste,Paris,French,1785,1785,0,2,0,0,2,0.9980427027,library,Hospital / Clinic / Dispensary,FALSE
Walhalla,Yes,Leo von Klenze,Regensburg,Germany,1802,1842,0,1,0,0,1,0.92736274,house,Government Residence and Palace,FALSE
Panthéon,Yes,Jacques-Germain Soufflot,Paris,France,1791,1790,0,0,1,0,1,0.9993809462,house,Pantheon,TRUE
Acropolis,Yes,Greek,Copán,Guatemala,fourth century BCE,5th century BCE,0,10,3,0,13,0.9980583125,citadel,Hospital / Clinic / Dispensary,TRUE
Streatham Street flats,Yes,Roberts,London,English,1848,1848,0,1,0,0,1,0.9984365702,"worker's cottage containing four flats, again to the design of Roberts, for the Great Exhibition of 1851. This generic model for the stacking of apartments in pairs around a common staircase was to influence the planning of working-class housing for the rest of the century. The American-backed philanthropic Peabody Trust and various English benevolent societies and local authorities attempted, after 1864, to upgrade the quality of working- class housing, but little of significance was achieved until the slum clearance Acts of 1868 and 1875 and the Housing of the Working Classes Act of 1890, under which local authorities were required to provide public housing. In 1893, when the London County Council (established in 1890) began to build workers’ flats under the auspices of this Act, its Architects’ Department made a remarkable effort to deinstitutionalize the image of such housing by adapting the Arts and Crafts domestic style (see p. 53) to the realization of six-storey blocks of flats. Typical of this development is the Millbank Estate, begun in 1897. Throughout the 19th century the effort of industry to take care of its own assumed many forms, from the ‘model’ mill, railway and factory towns to projected utopian communities intended as prototypes for some future enlightened state. Among those who manifested an early concern for integrated industrial settlements one must acknowledge Robert Owen, whose New Lanark in Scotland (1815) was designed as a pioneering institution of the co-operative movement, and Sir Titus Salt, whose Saltaire, near Bradford in Yorkshire (founded in 1850), was a paternalistic mill town, complete with traditional urban institutions such as a church, an infirmary, a secondary school, public baths, almshouses and a park. Neither of these realizations could match in scope and liberating potential the radical vision of Charles Fourier’s",Single-Family Housing,FALSE
Millbank Estate,No,,,,,,,,,,,,,,
 Habitation,No,,,,,,,,,,,,,,
Regent ' Park,No,,,,,,,,,,,,,,
Carlton House Terrace,Yes,John Nash,London,United Kingdom,1820,1709,0,0,1,0,1,0.942370832,house,Hospital / Clinic / Dispensary,TRUE
Birkenhead Park,No,,,,,,,,,,,,,,
Central Park,No,,,,,,,,,,,,,,
Regent Street,No,,,,,,,,,,,,,,
Boulevard de Sébastopol,No,,,,,,,,,,,,,,
Arc de Triomphe,Yes,Jean Chalgrin,Paris,US,1806,1811,0,2,0,1,3,0.9988941352,Arc de Triomphe,Government Residence and Palace,TRUE
Parc des Buttes Chaumont,No,,,,,,,,,,,,,,
Palace Car Company,Yes,George Pullman,Pullman,United States,1865,1869,0,1,0,0,1,0.9958857894,industrial,Factory,FALSE
Jomorrow,No,,,,,,,,,,,,,,
Compafiia Madrilefia de Urbanizacién,No,,,,,,,,,,,,,,
Hampstead Garden Suburb,No,,,,,,,,,,,,,,
Coalbrookdale,No,,,,,,,,,,,,,,
Buildwas Bridge,Yes,Ironbridge,Shropshire,England,2021,1796,0,0,1,0,1,0.9959367514,commercial,Bridge,TRUE
St Katharine Dock,Yes,Philip Hardwick,London,England,1829,1829,0,1,0,0,1,0.9950534701,warehouses,Airport Terminal,FALSE
Théatre Francais,Yes,Victor Louis,Paris,France,1786,1786,0,0,0,1,1,0.9996193647,theatre,Theater,FALSE
Palais - Royal,Yes,Louis XIV,Paris,France,1889,1905,0,0,0,1,1,0.9906197488,house,Government Residence and Palace,FALSE
Roussillon,No,,,,,,,,,,,,,,
Halle au Blé,No,,,,,,,,,,,,,,
Pont des Arts,Yes,First French Empire,Paris,France,1802,1804,0,0,1,0,1,0.999186039,book,Bridge,TRUE
Union Bridge,Yes,Brown,Runcorn,British,1820,1820,0,0,1,0,1,0.9997293353,sanatorium,Bridge,FALSE
Menai Straits bridge,Yes,Telford,Runcorn,British,1820,1825,0,1,0,0,1,0.9995347857,bridge,Bridge,FALSE
Clifton Bridge,Yes,Brunel,Bristol,British,1829,1864,0,0,1,0,1,0.9997144938,sanatorium,Bridge,FALSE
Schuylkill Falls,No,,,,,,,,,,,,,,
Brooklyn Bridge,Yes,Washington Roebling,Manhattan,United States,1883,1883,0,0,2,0,2,0.9938014746,"a monument, and to convey some knowledge of us to the most remote posterity, is a work of bare utility; not a shrine, not a fortress, not a palace, but a bridge",Bridge,TRUE
Fairbairn,No,,,,,,,,,,,,,,
Britannia Tubular Bridge,Yes,Stephenson,Bangor,Welsh,1846,1847,0,0,1,1,2,0.9912843704,railway,Bridge,TRUE
Saltash Viaduct,Yes,Brunel,Saltash,British,1859,1859,0,1,0,1,2,0.9997904599,railway,Bridge,FALSE
Britannia Bridge,Yes,Stephenson,Bangor,Welsh,1846,1966,0,1,0,0,1,0.9995671511,house,Bridge,TRUE
Massif Central,No,,,,,,,,,,,,,,
Forth Bridge,Yes,Sir John Fowler and Sir Benjamin Baker,Queensferry,England,1878,1878,0,1,0,0,1,0.9998497963,house,Bridge,TRUE
Salford Mill,Yes,Boulton and Watt,Manchester,England,1801,1801,0,1,0,0,1,0.997045517,mill,Factory,FALSE
Naval Dockyard,Yes,Royal Navy,British,United States,1911,1911,0,0,0,1,1,0.9993440509,Naval,Shipyard,TRUE
Menier chocolate factory,Yes,Menier Chocolate Company,Off-West End,United Kingdom,1865,1874,0,0,1,0,1,0.9118770957,factory,Restaurant / Bar / Coffee Shop,TRUE
Sheerness boat,No,,,,,,,,,,,,,,
Galerie ' Orléans,Yes,Jean Nouvel,Paris,France,1905,1905,0,0,0,1,1,0.9995161295,office,Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital,FALSE
Haughwout Building,Yes,Haughwout,Manhattan,New York,1941,1941,0,0,0,1,1,0.9997653961,office,Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital,TRUE
Hot Houses,Yes,John P. Gaynor,New York,England,1817,1817,0,1,0,0,1,0.9137680531,house,Single-Family Housing,FALSE
Palm House,Yes,Decimus Burton,Kew,England,1848,1848,0,0,1,0,1,0.99977386,large and high heated display greenhouses that specialise in growing palms and other tropical and subtropical plants,Greenhouse / Botanical Garden,TRUE
Lime Street Station,Yes,"John Cunningham, Arthur Holme, and John Foster",Liverpool,England,1833,1871,0,0,1,0,1,0.9998335838,station,Railway Station,TRUE
Gare de I'Est,No,,,,,,,,,,,,,,
St Pancras Station,Yes,William Henry Barlow,London,England,1863,2012,0,0,2,0,2,0.9995192587,passenger,Railway Station,TRUE
St Pancras,Yes,Rowland Mason Ordish,London,England,1863,1874,0,1,2,0,3,0.9994921088,building for public use,Hotel,FALSE
Crystal Palace,Yes,Joseph Paxton,London,England,1851,1851,0,4,3,2,9,0.9993840257,building for public use,Hospital / Clinic / Dispensary,FALSE
Galerie des Machines,Yes,Ferdinand Dutert,Paris,France,1889,1889,0,5,2,1,8,0.9715063969,office,Museum,TRUE
Eiffel ' tower,Yes,Louis XIV,Paris,France,1889,1889,0,0,0,1,1,0.9991718531,office,Observation Tower,FALSE
Douro Viaduct,No,,,,,,,,,,,,,,
Garabit Viaduct,No,,,,,,,,,,,,,,
Eiffel Tower,Yes,Gustave Eiffel,Paris,France,1887,1889,0,2,0,2,4,0.9997936338,Office,Observation Tower,TRUE
Eddystone Lighthouse,Yes,Smeaton,Cornwall,England,1807,1810,0,0,1,0,1,0.9996585846,lighthouse,Observation Tower,TRUE
Chateau ' Eau,Yes,Louis XIV,Paris,France,1812,1812,0,0,0,1,1,0.9988691211,sanatorium,Winery,FALSE
Hennebique,No,,,,,,,,,,,,,,
St - Jean - de - Montmartre,Yes,Louis XIV,Paris,France,1889,1889,0,0,0,1,1,0.9984786212,house,Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital,FALSE
Turin Exhibition Hall,Yes,Pier Luigi Nervi,Rome,Italy,1948,1948,0,1,0,0,1,0.9843117595,factory,Exhibition Center,FALSE
Gatti Wool Factory,Yes,Pier Luigi Nervi,Rome,Italy,1953,1953,0,1,0,0,1,0.9759030938,factory,Factory,FALSE
Village Bank project,No,,,,,,,,,,,,,,
E - Z Polish factory,Yes,Architect/s behind the E - Z Polish factory,Wrocaw,Poland,1905,1905,0,0,0,1,1,0.9889305234,factory,Factory,FALSE
Unity Temple,Yes,Frank Lloyd Wright,New York,U.S,1908,1908,0,3,2,1,6,0.9997852802,house,Church,TRUE
Rue Franklin apartment block,Yes,Perret Freres,Paris,France,1903,1903,0,1,0,0,1,0.9843226075,"all-concrete structures, beginning with Auguste Perret’s seminal Rue Franklin apartment block of 1903 and his Théatre des Champs-Elysées of 1913. At about the same time, Henri Sauvage explored the expressive ‘plastic’ potential of this new monolithic material in his set- back apartments in the Rue Vavin, completed in 1912. By this date the reinforced-concrete frame had become a normative technique, and from now on most of the development was to lie in the scale of its application and in its assimilation as an expressive element. While its first use on a megastructural scale was in Matté Trucco’s 40-hectare (100-acre) Fiat Works, begun in Turin in 1915 [21], its appropriation as the primary expressive element of an architectural language came with Le Corbusier’s ‘Maison Dom-Lno’ proposal of around the same date. Where the one clearly demonstrated that flat concrete roofs could sustain the vibration of dynamic moving loads - the Fiat factory has a test track on its roof - the other postulated the Hennebique system as a ‘patent’ primal structure to which, after the manner of Laugier’s primitive hut, the development of the new architecture would have to refer.",Hostel,FALSE
Théatre des Champs - Elysées,Yes,Jean Nouvel,Paris,France,1889,1889,0,0,0,1,1,0.997037828,theater,Hospital / Clinic / Dispensary Hospital / Clinic / Dispensary Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum / Observation Tower Museum /,FALSE
Rue Vavin,No,,,,,,,,,,,,,,
Maison Dom - Lno ',Yes,Jean Nouvel,Lno,Czech Republic,1888,1905,0,0,0,1,1,0.9566989541,house,Monastery,FALSE
Fiat factory,Yes,Matté Trucco,Turin,Italy,1915,1915,0,1,0,0,1,0.9995434284,"Fiat Works, begun in Turin in 1915 [21], its appropriation as the primary expressive element of an architectural language came with Le Corbusier’s ‘Maison Dom-Lno’ proposal of around the same date. Where the one clearly demonstrated that flat concrete roofs could sustain the vibration of dynamic moving loads - the Fiat factory has a test track on its roof - the other postulated the Hennebique system as a ‘patent’ primal structure to which, after the manner of Laugier’s primitive hut, the development of the new architecture would have to refer.",Factory,FALSE
Fiat Works,Yes,Giacomo Matté Trucco,Turin,Europe,1915,1921,0,1,2,0,3,0.9646160007,factory,Factory,FALSE
Rhine Bridge,Yes,Compagnie des chemins de fer de l'Est,Strasbourg,France,1857,1953,0,1,0,0,1,0.9994398355,railway,Bridge,TRUE
Aare Bridge,Yes,Maillart,Aarburg,Denmark,1911,1911,0,1,0,0,1,0.9997739792,bridge,Bridge,FALSE
Salginatobel Bridge,Yes,Robert Maillart,Salginatobel,Switzerland,1929,1930,0,0,0,1,1,0.9998698235,office,Bridge,TRUE
