architecture,is_architecture,author/s,city,country,start_year,end_year,qty_title,qty_paragraph,qty_caption,qty_unassigned,qty,certainty_score,fuctional_type_infered,fuctional_type_classified,uses_wikipedia
Four Sports Arena,Yes,Giancarlo Mazzanti,Medellin,Colombia,2009,2009,0,1,1,0,2,0.9965550601,"a partially open area covered by a light-weight folded-plate structure consisting of welded tubular steel latticework trusses. 408 Mazzanti and Mesa, Four Sports Arena, Medellin, 1987.",Sports Center,FALSE
Museo de Bellas Artes,Yes,Carlos Raul Villanueva,Caracas,Venezuela,1935,1935,0,0,1,0,1,0.9979814887,Museo de Bellas Artes,Museum,FALSE
Art Deco Gran,Yes,Carlos Raul Villanueva,Santa Teresa,Venezuela,1939,1939,0,0,1,0,1,0.9694267511,Gran Colombia School,Hospital / Clinic / Dispensary,FALSE
Aula Magna,Yes,Villanueva,Caracas,Venezuela,1944,1944,0,1,1,0,2,0.9955839813,auditorium,Hospital / Clinic / Dispensary,FALSE
Villanueva,No,,,,,,,,,,,,,,
Venezuelan Pavilion,Yes,Villanueva,Montreal,American,1944,67,0,1,0,0,1,0.9946323633,auditorium- enlivened by a giant polychromatic mobile specially created as a decorative acoustical device by the celebrated American artist Alexander Calder,Meeting Pavilion,FALSE
Centro Simén Bolivar,Yes,Cipriano Dominguez,Caracas,Venezuela,1949,1949,0,0,2,0,2,0.9993948936,office,Hospital / Clinic / Dispensary,FALSE
Hotel Humboldt,Yes,Gottfried Knoche,Caracas,Venezuela,1961,1961,0,1,0,0,1,0.9955369234,Office,Hotel,TRUE
Tenreiro,No,,,,,,,,,,,,,,
Ciudad Deportiva,No,,,,,,,,,,,,,,
Parque del Este,No,,,,,,,,,,,,,,
Altolar housing,No,,,,,,,,,,,,,,
Bello Monte,Yes,Alcock,Caracas,Venezuela,1965,1965,0,0,1,1,2,0.9085456729,apartment,Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital,FALSE
Pedregulho housing complex,Yes,Affonso Eduardo Reidy,Rio de Janeiro,Brazil,1949,1951/1952,0,0,1,0,1,0.9788942337,apartment,Hospital / Clinic / Dispensary,TRUE
Hotel Jirahara,Yes,Alcock,Caracas,Venezuela,1972,1972,0,0,0,1,1,0.9973751307,apartment,Hotel,FALSE
Bello Monte housing,Yes,Alcock,Caracas,Venezuela,1965,1965,0,0,1,0,1,0.9946011305,apartment,Single-Family Housing,FALSE
Casa Romanelli,Yes,Alberto Prebisch,Caracas,Venezuela,1936,1936,0,1,0,0,1,0.9995120168,house,Hospital / Clinic / Dispensary,FALSE
Berlingieri House,Yes,Antonio Bonet,Maldonado,Uruguay,1947,1947,0,2,1,0,3,0.9701516032,house,Hospital / Clinic / Dispensary,FALSE
Hosteria La Solana del Mar,Yes,Antoni Bonet,Maldonado,Uruguay,1947,1947,0,0,0,1,1,0.9869613051,"vacation houses on the sand dunes of Punta Ballena at the mouth of the Rio de la Plata in the 1940s. Bonet’s penchant for vaulted space came into its own with his Berlingieri House [417, 418] of 1947, wherein the shell vaults were designed by the young Uruguayan engineer Eladio Dieste. Bonet’s feeling for the integration of his work into the dune landscape was particularly evident in his three-storey Hosteria La Solana del Mar of 1947. 417, 418 Bonet, Berlingieri House, Maldonado, Uruguay, 1947. View and detail of vault to wall connection.",Hotel,FALSE
Santa Rosa de la Pampa,Yes,Testa,Corrientes,South America,1955,1966,0,0,1,0,1,0.9452447295,civic centre,Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary,FALSE
Corbusian building,Yes,Michel Ecochard,Beirut,Lebanon,1955,1955,0,2,0,0,2,0.9996705055,office,Hospital / Clinic / Dispensary,FALSE
HSBC bank,No,,,,,,,,,,,,,,
Banco Ciudad Casa,Yes,MSGSSV,La Luchila,Argentine,1969,1969,0,0,2,0,2,0.9919248223,office,Bank (branch or headquarters),FALSE
Oks house,Yes,Testa,Buenos Aires,Argentine,1979,1979,0,1,1,0,2,0.9960798621,house,Single-Family Housing,FALSE
Colored TV Studios,No,,,,,,,,,,,,,,
Casa Oks,Yes,Testa,Buenos Aires,Argentine,1979,1979,0,0,1,0,1,0.9388266206,house,Hospital / Clinic / Dispensary,FALSE
La Luchila,Yes,Testa,Buenos Aires,Argentine,1979,1979,0,0,1,0,1,0.9828162789,office,Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital,FALSE
San Martin Cultural Centre,Yes,Mario Roberto Alvarez,Buenos Aires,Argentine,1953,1970,0,0,0,1,1,0.9994211793,"auditorium, a cinema and an art gallery, the common foyer of which is enhanced by polychromatic murals and freestanding sculptures. Strangely enough this practice built only one other structure of consequence, the twelve-storey SOMISA corner building in Buenos Aires, of exposed steel- frame construction inside and out. The pioneering period of Argentine modernity was brought to a fitting conclusion with Testa’s dramatically cantilevered, top-heavy, reinforced-concrete National Library in Buenos Aires, designed in association with Francisco Bullrich and Alicia Cazzaniga in 1962, a work",Cultural or Exhibition Center,FALSE
SOMISA corner building,Yes,Testa,Buenos Aires,Argentine,1979,1970,0,0,1,0,1,0.9768605232,office,Government Administrative Offices,FALSE
Archdiocesan Seminary,Yes,Payssé Reyes,Montevideo,Uruguay,1956,426,0,1,0,0,1,0.919213593,Church,Monastery,FALSE
Uruguayan,No,,,,,,,,,,,,,,
Church,Yes,Lars Sonck,Barcelona,Spain,1906,1906,2,42,32,3,79,0.9430070519,Church,Church,FALSE
Arquidiocesano de,No,,,,,,,,,,,,,,
El Pilar apartment building,Yes,Luis Garcia Pardo,Montevideo,Uruguay,1957,1957,0,0,0,1,1,0.9241906404,apartment,Hostel,FALSE
Edificio Berro,Yes,Rafael Lorente Escudero,Montevideo,Uruguay,1952,1952,0,1,0,0,1,0.9987512827,apartment,Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital,FALSE
Bulevar Artigas,No,,,,,,,,,,,,,,
Puerto Madryn housing,Yes,Argentinian practice of Manteola,Montevideo,Uruguay,1957,1957,0,0,1,0,1,0.9996392727,Puerto Madryn,Single-Family Housing,FALSE
Pilar Apartments,Yes,Luis Garcia Pardo,Montevideo,Uruguay,1957,1957,0,0,1,0,1,0.9990810156,apartment,Hostel,FALSE
Christ,No,,,,,,,,,,,,,,
San Pedro,No,,,,,,,,,,,,,,
San Juan de Avila,No,,,,,,,,,,,,,,
Bosco School Gymnasium,Yes,Dieste,Montevideo,Uruguay,1983,1983,0,0,1,0,1,0.9996225238,house,Gym,FALSE
Bus Terminal,Yes,architect/s,city,United States,1969,1969,0,2,1,0,3,0.9951432943,Bus station,Bus Terminal,TRUE
Corporacién Nacional,No,,,,,,,,,,,,,,
Unidad Vecinal Numero,No,,,,,,,,,,,,,,
Palomino housing complex,Yes,Luis Miré Quesada,Lima,Peru,1964,1964,0,0,1,0,1,0.9991361499,house,Single-Family Housing,FALSE
Palomino Housing,Yes,"Luis Miré Quesada, Santiago Agurto, Fernando Correa and Fernando Sanchez Grinan",Lima,Peru,1964,1964,0,0,2,0,2,0.999487102,house,Single-Family Housing,FALSE
Belatnde,No,,,,,,,,,,,,,,
Casa Equis,Yes,Barclay & Crousse,Callao,Peru,2003,2003,0,0,1,1,2,0.9997755289,house,Hospital / Clinic / Dispensary,FALSE
Crousse,No,,,,,,,,,,,,,,
San Isidro,No,,,,,,,,,,,,,,
International Labour Organization,No,,,,,,,,,,,,,,
